time,n_q,measured_MW,capacity_MW,mostrecent_MW,dayahead_MW,dayahead11h_MW
2021-01-01T00:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T01:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T02:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T03:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T04:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T05:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T06:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T07:00,4,0.322,709.680,0.247,0.268,0.262
2021-01-01T08:00,4,15.575,709.680,14.404,15.167,15.249
2021-01-01T09:00,4,45.366,709.680,43.183,46.502,46.542
2021-01-01T10:00,4,94.172,709.680,68.408,75.716,75.032
2021-01-01T11:00,4,136.492,709.680,81.171,87.416,86.269
2021-01-01T12:00,4,130.936,709.680,79.246,86.201,84.643
2021-01-01T13:00,4,82.876,709.680,91.748,67.296,66.715
2021-01-01T14:00,4,36.810,709.680,43.529,35.089,35.440
2021-01-01T15:00,4,6.191,709.680,6.233,5.724,5.140
2021-01-01T16:00,4,0.002,709.680,0.000,0.000,0.000
2021-01-01T17:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T18:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T19:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T20:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T21:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T22:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-01T23:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T00:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T01:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T02:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T03:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T04:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T05:00,4,0.000,709.680,0.000,0.000,0.000
2021-01-02T06:00,4,0.000,709.680,0.000,0.000,0.000
